"State","Bird"
"Alabama","Yellowhammer"
"Alaska","Willow ptarmigan"
"Arizona","Cactus wren"
"Arkansas","Northern mockingbird"
"California","California quail"
"Colorado","Lark bunting"
"Connecticut","American robin"
"Delaware","Delaware Blue Hen"
"Florida","Northern mockingbird" 	
"Georgia","Brown thrasher"
"Hawaii",""
"Idaho",""
"Illinois",""
"Indiana",""
"Iowa",""
"Kansas",""
"Kentucky",""
"Louisiana",""
"Maine",""
"Montana",""
"Nebraska",""
"Nevada",""
"New Hampshire",""
"New Jersey",""
"New Mexico",""
"New York",""
"North Carolina",""
"North Dakota",""
"Ohio",""
"Oklahoma",""
"Oregon",""
"Maryland",""
"Massachusetts",""
"Michigan",""
"Minnesota",""
"Mississippi",""
"Missouri",""
"Pennsylvania",""
"Rhode Island",""
"South Carolina",""
"South Dakota",""
"Tennessee",""
"Texas",""
"Utah",""
"Vermont",""
"Virginia",""
"Washington",""
"West Virginia",""
"Wisconsin",""
"Wyoming",""
