"State","Bird"
"Alabama","Yellowhammer"
"Alaska","Willow ptarmigan"
"Arizona","Cactus wren"
"Arkansas","Northern mockingbird"
"California","California quail"
"Colorado","Lark bunting"
"Connecticut","American robin"
"Delaware","Delaware Blue Hen"
"Florida","Northern mockingbird" 	
"Georgia","Brown thrasher"
"Hawaii","Hawaiian goose"
"Idaho","Mountain bluebird"
"Illinois","Northern cardinal"
"Indiana","Northern cardinal"
"Iowa","American goldfinch"
"Kansas","Western meadowlark"
"Kentucky","Northern cardinal"
"Louisiana","Brown pelican"
"Maine","Chickadee"
"Maryland","Baltimore oriole"
"Massachusetts","Black-capped chickadee"
"Michigan","American robin"
"Minnesota","Common loon"
"Mississippi","Northern mockingbird"
"Missouri","Eastern bluebird"
"Montana","Western meadowlark"
"Nebraska","Western meadowlark"
"Nevada","Mountain bluebird"
"New Hampshire","Purple finch"
"New Jersey","Eastern goldfinch"
"New Mexico","Roadrunner"
"New York","Eastern bluebird"
"North Carolina","Northern cardinal"
"North Dakota","Western meadowlark"
"Ohio","Northern cardinal"
"Oklahoma","Scissor-tailed flycatcher"
"Oregon","Western meadowlark"
"Pennsylvania","Ruffed grouse"
"Rhode Island","Rhode Island Red"
"South Carolina","Northern mockingbird"
"South Dakota","Ring-necked pheasant"
"Tennessee","Northern mockingbird"
"Texas","Northern mockingbird"
"Utah","California gull"
"Vermont","Hermit thrush"
"Virginia","Northern cardinal"
"Washington","Willow goldfinch"
"West Virginia","Northern cardinal"
"Wisconsin","American robin"
"Wyoming","Western meadowlark"
